Country,Abbreviation,neet,poverty
Belgium,BEL,12.3,20.6
Bulgaria,BGR,23.5,47.7
Czechia,CZE,12.9,15.7
Denmark,DNK,8.2,33.2
Germany,DEU,12.2,24.4
Estonia,EST,17.1,23.0
Ireland,IRL,21.7,30.5
Greece,GRC,18.2,31.9
Spain,ESP,20.0,28.3
France,FRA,12.1,24.6
Croatia,HRV,17.6,31.2
Italy,ITA,22.2,30.5
Cyprus,CYP,12.9,24.1
Latvia,LVA,20.7,37.7
Lithuania,LTU,17.0,36.8
Luxembourg,LUX,6.1,19.0
Hungary,HUN,15.6,34.4
Malta,MLT,12.2,18.4
Netherlands,NLD,6.8,22.3
Austria,AUT,9.5,20.2
Poland,POL,14.9,28.7
Portugal,PRT,13.3,25.0
Romania,ROU,24.2,41.6
Slovenia,SVN,8.0,16.0
Slovakia,SVK,18.2,21.0
Finland,FIN,10.0,22.7
Sweden,SWE,7.8,29.2
Iceland,ISL,10.0,18.1
Norway,NOR,7.9,29.3
Switzerland,CHE,8.1,16.5
North Macedonia,MKD,31.8,
Serbia,SRB,29.4,
Türkiye,TUR,35.2,67.4
