Country,Abbreviation,neet,poverty
Belgium,BEL,13.3,24.7
Bulgaria,BGR,24.0,39.5
Czechia,CZE,12.1,16.8
Denmark,DNK,8.0,35.6
Germany,DEU,9.8,25.3
Estonia,EST,13.2,22.0
Ireland,IRL,17.8,38.8
Greece,GRC,26.3,47.9
Spain,ESP,20.7,36.5
France,FRA,13.4,25.1
Croatia,HRV,21.8,30.1
Italy,ITA,26.3,35.3
Cyprus,CYP,19.5,30.0
Latvia,LVA,15.2,29.0
Lithuania,LTU,12.9,27.3
Luxembourg,LUX,6.5,23.4
Hungary,HUN,14.7,35.9
Malta,MLT,11.6,22.0
Netherlands,NLD,8.2,24.2
Austria,AUT,9.7,21.3
Poland,POL,15.7,27.5
Portugal,PRT,14.6,32.0
Romania,ROU,24.8,45.5
Slovenia,SVN,11.0,21.6
Slovakia,SVK,17.5,18.7
Finland,FIN,11.2,24.4
Sweden,SWE,7.4,28.4
Iceland,ISL,6.9,13.0
Norway,NOR,8.4,27.8
Switzerland,CHE,7.7,14.6
Montenegro,MNE,22.5,41.2
North Macedonia,MKD,31.9,44.5
Serbia,SRB,26.0,45.4
Türkiye,TUR,28.4,42.3
