Country,Abbreviation,neet,poverty
Belgium,BEL,11.3,19.9
Bulgaria,BGR,18.2,32.0
Czechia,CZE,11.0,11.4
Denmark,DNK,10.2,30.6
Germany,DEU,9.6,28.9
Estonia,EST,11.1,20.2
Ireland,IRL,14.1,20.8
Greece,GRC,18.5,36.3
Spain,ESP,17.3,30.4
France,FRA,13.4,26.4
Croatia,HRV,14.6,18.1
Italy,ITA,23.5,31.6
Cyprus,CYP,15.3,20.9
Latvia,LVA,11.9,21.3
Lithuania,LTU,13.0,23.1
Luxembourg,LUX,7.7,31.7
Hungary,HUN,12.3,18.0
Malta,MLT,9.5,13.0
Netherlands,NLD,6.3,21.4
Austria,AUT,9.9,19.0
Poland,POL,13.1,18.6
Portugal,PRT,11.0,19.6
Romania,ROU,20.6,34.2
Slovenia,SVN,7.9,12.8
Slovakia,SVK,14.4,13.8
Finland,FIN,9.8,23.1
Sweden,SWE,6.9,27.6
Iceland,ISL,7.0,
Norway,NOR,7.8,30.9
Switzerland,CHE,6.3,16.8
Montenegro,MNE,26.6,33.5
North Macedonia,MKD,26.2,42.0
Serbia,SRB,20.3,31.2
Türkiye,TUR,32.0,43.9
