Country,Abbreviation,neet,poverty
Belgium,BEL,12.2,18.8
Bulgaria,BGR,20.8,43.1
Czechia,CZE,12.7,14.8
Denmark,DNK,7.4,31.0
Germany,DEU,12.9,26.5
Estonia,EST,17.7,19.4
Ireland,IRL,20.2,26.9
Greece,GRC,15.5,28.3
Spain,ESP,19.9,24.4
France,FRA,12.0,22.7
Croatia,HRV,14.9,
Italy,ITA,20.7,28.7
Cyprus,CYP,11.5,20.2
Latvia,LVA,20.8,32.1
Lithuania,LTU,15.0,27.6
Luxembourg,LUX,7.5,23.1
Hungary,HUN,15.5,33.7
Malta,MLT,12.6,15.9
Netherlands,NLD,6.5,21.8
Austria,AUT,10.0,20.3
Poland,POL,14.3,28.4
Portugal,PRT,12.5,23.9
Romania,ROU,17.9,42.8
Slovenia,SVN,8.0,14.1
Slovakia,SVK,16.5,20.3
Finland,FIN,10.8,21.0
Sweden,SWE,9.3,27.6
Iceland,ISL,9.3,14.8
Norway,NOR,7.4,29.6
North Macedonia,MKD,32.8,
Türkiye,TUR,38.1,
