Country,Abbreviation,neet,poverty
Belgium,BEL,13.6,24.6
Bulgaria,BGR,22.2,41.3
Czechia,CZE,11.8,15.3
Denmark,DNK,8.5,33.9
Germany,DEU,9.6,24.9
Estonia,EST,12.4,20.8
Ireland,IRL,16.5,35.4
Greece,GRC,23.8,46.4
Spain,ESP,19.4,38.6
France,FRA,13.9,22.3
Croatia,HRV,19.9,28.2
Italy,ITA,25.8,36.9
Cyprus,CYP,18.5,34.7
Latvia,LVA,13.8,27.9
Lithuania,LTU,11.8,27.0
Luxembourg,LUX,7.6,21.9
Hungary,HUN,13.1,31.8
Malta,MLT,11.8,21.5
Netherlands,NLD,7.3,25.0
Austria,AUT,9.0,21.0
Poland,POL,14.9,26.7
Portugal,PRT,13.2,30.7
Romania,ROU,25.8,42.8
Slovenia,SVN,10.5,19.8
Slovakia,SVK,16.4,18.0
Finland,FIN,11.8,25.8
Sweden,SWE,7.0,28.3
Iceland,ISL,5.3,15.6
Norway,NOR,8.3,29.6
Switzerland,CHE,7.3,16.6
Montenegro,MNE,23.4,38.3
North Macedonia,MKD,32.5,43.0
Serbia,SRB,25.1,44.5
Türkiye,TUR,27.9,41.2
