Country,Abbreviation,neet,poverty
Belgium,BEL,11.2,20.8
Bulgaria,BGR,16.7,31.5
Czechia,CZE,9.8,11.2
Denmark,DNK,9.6,32.0
Germany,DEU,8.6,22.0
Estonia,EST,9.7,19.1
Ireland,IRL,11.4,23.9
Greece,GRC,17.5,38.1
Spain,ESP,14.9,31.6
France,FRA,12.4,23.2
Croatia,HRV,14.2,19.1
Italy,ITA,22.3,30.8
Cyprus,CYP,14.1,23.0
Latvia,LVA,10.2,19.9
Lithuania,LTU,10.9,22.2
Luxembourg,LUX,6.5,28.6
Hungary,HUN,11.0,21.2
Malta,MLT,7.9,15.6
Netherlands,NLD,6.3,22.9
Austria,AUT,8.6,19.5
Poland,POL,12.0,20.0
Portugal,PRT,9.2,24.9
Romania,ROU,20.9,35.1
Slovenia,SVN,7.5,12.7
Slovakia,SVK,13.7,17.1
Finland,FIN,9.1,23.8
Sweden,SWE,5.9,26.1
Iceland,ISL,5.7,
Norway,NOR,7.5,30.9
Switzerland,CHE,6.2,17.9
Montenegro,MNE,21.3,33.7
North Macedonia,MKD,24.5,43.1
Serbia,SRB,19.3,33.9
Türkiye,TUR,29.5,41.2
