Country,Abbreviation,neet,poverty
Belgium,BEL,14.1,22.4
Bulgaria,BGR,25.8,46.6
Czechia,CZE,12.8,16.8
Denmark,DNK,8.2,36.7
Germany,DEU,9.9,25.6
Estonia,EST,13.5,22.6
Ireland,IRL,18.8,37.8
Greece,GRC,28.1,46.1
Spain,ESP,22.5,33.6
France,FRA,13.0,24.7
Croatia,HRV,22.3,29.2
Italy,ITA,26.2,34.5
Cyprus,CYP,20.4,30.5
Latvia,LVA,15.6,33.8
Lithuania,LTU,13.7,28.7
Luxembourg,LUX,7.2,22.4
Hungary,HUN,16.7,40.6
Malta,MLT,10.9,23.6
Netherlands,NLD,8.2,22.4
Austria,AUT,9.0,20.0
Poland,POL,16.4,28.3
Portugal,PRT,16.4,31.1
Romania,ROU,24.5,46.6
Slovenia,SVN,11.0,20.3
Slovakia,SVK,18.3,20.9
Finland,FIN,10.4,22.1
Sweden,SWE,7.4,27.8
Iceland,ISL,6.4,18.5
Norway,NOR,8.3,28.9
Switzerland,CHE,8.0,14.8
Montenegro,MNE,23.6,37.9
North Macedonia,MKD,31.3,51.0
Serbia,SRB,29.8,44.6
Türkiye,TUR,29.3,51.9
