Country,Abbreviation,neet,poverty
Belgium,BEL,11.4,22.7
Bulgaria,BGR,18.2,32.6
Czechia,CZE,9.5,11.7
Denmark,DNK,9.6,34.8
Germany,DEU,9.0,23.9
Estonia,EST,11.5,20.1
Ireland,IRL,11.6,22.4
Greece,GRC,19.2,40.5
Spain,ESP,15.3,33.8
France,FRA,12.9,22.2
Croatia,HRV,15.6,21.0
Italy,ITA,23.5,33.7
Cyprus,CYP,14.9,26.4
Latvia,LVA,11.6,22.5
Lithuania,LTU,9.3,24.7
Luxembourg,LUX,7.5,26.0
Hungary,HUN,10.6,22.8
Malta,MLT,7.3,13.6
Netherlands,NLD,6.3,24.4
Austria,AUT,8.8,20.2
Poland,POL,12.2,21.0
Portugal,PRT,9.6,24.9
Romania,ROU,21.3,36.4
Slovenia,SVN,7.5,14.7
Slovakia,SVK,13.8,17.8
Finland,FIN,9.6,24.8
Sweden,SWE,6.5,26.6
Iceland,ISL,5.4,13.5
Norway,NOR,7.6,33.0
Switzerland,CHE,6.6,16.8
Montenegro,MNE,21.0,35.1
North Macedonia,MKD,29.8,45.1
Serbia,SRB,20.4,36.1
Türkiye,TUR,27.6,41.5
