Country,Abbreviation,neet,poverty
Belgium,BEL,13.6,22.5
Bulgaria,BGR,24.7,48.7
Czechia,CZE,12.9,17.4
Denmark,DNK,9.0,34.2
Germany,DEU,10.6,25.4
Estonia,EST,14.1,24.9
Ireland,IRL,21.6,39.6
Greece,GRC,26.4,44.5
Spain,ESP,22.2,33.8
France,FRA,12.4,24.3
Croatia,HRV,19.7,30.9
Italy,ITA,23.9,36.3
Cyprus,CYP,17.3,28.8
Latvia,LVA,17.2,35.0
Lithuania,LTU,13.9,33.4
Luxembourg,LUX,7.6,22.1
Hungary,HUN,16.9,38.3
Malta,MLT,12.0,20.9
Netherlands,NLD,7.2,20.4
Austria,AUT,8.6,21.0
Poland,POL,15.9,27.7
Portugal,PRT,15.6,28.4
Romania,ROU,24.3,47.4
Slovenia,SVN,10.1,19.0
Slovakia,SVK,18.0,20.6
Finland,FIN,9.9,22.2
Sweden,SWE,7.9,26.0
Iceland,ISL,7.0,16.2
Norway,NOR,7.6,27.7
Switzerland,CHE,7.7,16.3
Montenegro,MNE,24.4,
North Macedonia,MKD,32.1,51.9
Serbia,SRB,30.5,
Türkiye,TUR,31.7,63.3
