name,abundance,abbreviation
Türkiye,37.5,TUR
Spain,23.6,ESP
Iceland,20.5,ISL
Portugal,18.9,PRT
Romania,17.3,ROU
Malta,17.1,MLT
Italy,16.8,ITA
Norway,13.7,NOR
Bulgaria,12.5,BGR
Hungary,11.9,HUN
European Union - 27 countries (from 2020),11.8,EU
North Macedonia,11.4,MKD
Belgium,11.0,BEL
Greece,10.1,GRC
Latvia,9.8,LVA
Germany,9.8,DEU
France,9.7,FRA
Estonia,9.7,EST
Netherlands,9.3,NLD
Finland,9.3,FIN
Cyprus,9.1,CYP
Serbia,8.9,SRB
Ireland,8.7,IRL
Denmark,8.2,DNK
Austria,7.5,AUT
Sweden,7.1,SWE
Slovakia,6.4,SVK
Lithuania,6.3,LTU
Luxembourg,6.1,LUX
Poland,5.6,POL
Switzerland,5.6,CHE
Montenegro,5.6,MNE
Czechia,5.4,CZE
Croatia,4.5,HRV
Slovenia,3.9,SVN
