name,abundance,abbreviation
European Union - 27 countries (from 2020),12.6,EU
Türkiye,39.6,TUR
Spain,24.7,ESP
Portugal,20.5,PRT
Iceland,20.1,ISL
Malta,18.1,MLT
Romania,17.8,ROU
Italy,17.3,ITA
Norway,14.8,NOR
Bulgaria,12.5,BGR
Belgium,12.0,BEL
France,11.8,FRA
Hungary,11.8,HUN
North Macedonia,11.7,MKD
Cyprus,11.4,CYP
Greece,11.3,GRC
Latvia,10.6,LVA
Germany,10.5,DEU
Estonia,10.3,EST
Ireland,9.9,IRL
Denmark,9.6,DNK
Finland,8.9,FIN
Netherlands,8.9,NLD
Luxembourg,8.1,LUX
Serbia,8.1,SRB
Austria,7.8,AUT
Sweden,7.5,SWE
Montenegro,6.7,MNE
Lithuania,6.5,LTU
Poland,5.7,POL
Czechia,5.5,CZE
Switzerland,5.5,CHE
Slovakia,5.3,SVK
Croatia,5.1,HRV
Slovenia,4.4,SVN
