name,abundance,abbreviation
European Union - 27 countries (from 2020),10.5,EU
Türkiye,31.0,TUR
Iceland,21.5,ISL
Spain,17.9,ESP
Romania,16.4,ROU
Italy,14.5,ITA
Malta,14.0,MLT
Bulgaria,12.7,BGR
Hungary,12.5,HUN
Estonia,12.0,EST
Portugal,11.8,PRT
Denmark,10.4,DNK
Germany,10.3,DEU
Norway,9.9,NOR
France,8.7,FRA
Belgium,8.6,BEL
Slovakia,8.6,SVK
Finland,8.3,FIN
Latvia,8.3,LVA
Cyprus,7.8,CYP
Sweden,7.5,SWE
Austria,7.3,AUT
Netherlands,7.3,NLD
North Macedonia,7.1,MKD
Serbia,6.8,SRB
Luxembourg,6.3,LUX
Czechia,6.2,CZE
Ireland,5.0,IRL
Poland,4.8,POL
Greece,4.7,GRC
Lithuania,4.6,LTU
Montenegro,4.6,MNE
Switzerland,4.4,CHE
Slovenia,4.2,SVN
Croatia,3.3,HRV
