name,abundance,abbreviation
Türkiye,36.4,TUR
Spain,20.0,ESP
Romania,19.1,ROU
Iceland,18.8,ISL
Malta,16.3,MLT
Italy,14.7,ITA
Portugal,13.7,PRT
Estonia,13.7,EST
Bulgaria,13.4,BGR
Hungary,11.6,HUN
North Macedonia,11.4,MKD
European Union - 27 countries (from 2020),11.0,EU
Norway,10.2,NOR
Belgium,10.1,BEL
Germany,10.1,DEU
Latvia,9.9,LVA
Luxembourg,9.3,LUX
France,9.2,FRA
Finland,9.2,FIN
Netherlands,8.2,NLD
Denmark,8.1,DNK
Greece,7.9,GRC
Serbia,7.5,SRB
Austria,7.3,AUT
Sweden,7.0,SWE
Slovakia,6.9,SVK
Ireland,6.8,IRL
Czechia,6.2,CZE
Montenegro,5.7,MNE
Lithuania,5.5,LTU
Poland,5.3,POL
Cyprus,5.2,CYP
Switzerland,5.2,CHE
Slovenia,5.0,SVN
Croatia,2.8,HRV
