name,abundance,abbreviation
Iceland,16.5,ISL
Romania,15.6,ROU
Spain,13.9,ESP
Norway,13.2,NOR
Hungary,12.4,HUN
Germany,12.2,DEU
Italy,11.5,ITA
Estonia,10.8,EST
Bulgaria,10.5,BGR
Malta,10.1,MLT
Denmark,10.0,DNK
European Union - 27 countries (from 2020),9.6,EU
Sweden,8.8,SWE
Finland,8.4,FIN
Austria,8.4,AUT
Luxembourg,8.2,LUX
Cyprus,8.1,CYP
France,7.6,FRA
Slovakia,7.4,SVK
Latvia,6.7,LVA
Belgium,6.4,BEL
Switzerland,6.3,CHE
Czechia,6.2,CZE
Portugal,6.0,PRT
Netherlands,5.6,NLD
Serbia,5.0,SRB
Lithuania,4.8,LTU
Poland,4.8,POL
Greece,4.1,GRC
Slovenia,4.0,SVN
Ireland,3.7,IRL
Croatia,2.3,HRV
