sex,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
M,17.5,19.3,20.0,21.7,24.5,24.8,24.2,22.4,22.4,21.5,20.2,21.4
F,23.4,24.7,25.1,25.8,27.5,27.7,27.1,26.3,26.0,25.4,24.3,25.4
