name,abbreviation,level,rank,valueM,valueF
Estonia,EST,low,1,47.1,33.2
Malta,MLT,low,2,15.2,11.2
Iceland,ISL,low,3,17.7,13.3
Cyprus,CYP,medium,1,37.7,26.2
North Macedonia,MKD,medium,2,131.2,101.9
Slovakia,SVK,medium,3,322.3,258.5
Cyprus,CYP,high,1,19.2,41.2
Latvia,LVA,high,2,27.8,48.9
Portugal,PRT,high,3,103.2,178.5
