name,abbreviation,level,rank,valueM,valueF
Malta,MLT,low,1,10.7,6.3
Iceland,ISL,low,2,16.4,11.8
Portugal,PRT,low,3,297.6,228.3
Slovakia,SVK,medium,1,242.4,182.8
Malta,MLT,medium,2,29.0,22.9
Slovenia,SVN,medium,3,86.8,68.9
Slovakia,SVK,high,1,61.5,110.4
Portugal,PRT,high,2,155.4,258.6
Croatia,HRV,high,3,42.6,68.2
