name,abbreviation,level,rank,valueM,valueF
Iceland,ISL,low,1,16.7,11.5
Spain,ESP,low,2,1491.6,1103.5
Malta,MLT,low,3,12.3,9.2
Croatia,HRV,medium,1,223.7,169.6
Cyprus,CYP,medium,2,35.0,26.6
Sweden,SWE,medium,3,428.7,337.5
Croatia,HRV,high,1,38.1,79.5
Estonia,EST,high,2,14.3,26.0
Cyprus,CYP,high,3,21.4,38.6
