name,abbreviation,level,rank,valueM,valueF
Malta,MLT,low,1,14.3,10.7
Spain,ESP,low,2,1640.6,1237.2
Iceland,ISL,low,3,17.7,13.5
Cyprus,CYP,medium,1,37.0,27.5
Latvia,LVA,medium,2,87.5,68.5
North Macedonia,MKD,medium,3,126.7,99.8
Cyprus,CYP,high,1,18.1,37.5
Latvia,LVA,high,2,23.9,49.4
Finland,FIN,high,3,49.6,86.0
