name,abbreviation,level,rank,valueM,valueF
Malta,MLT,low,1,13.9,8.9
Estonia,EST,low,2,44.4,33.5
Portugal,PRT,low,3,390.3,299.3
Cyprus,CYP,medium,1,36.4,26.1
Montenegro,MNE,medium,2,43.3,31.5
Slovakia,SVK,medium,3,277.0,216.3
Estonia,EST,high,1,14.7,28.3
Cyprus,CYP,high,2,20.3,37.8
Portugal,PRT,high,3,105.2,194.2
