name,abbreviation,level,rank,valueM,valueF
Malta,MLT,low,1,17.4,11.6
Spain,ESP,low,2,1975.4,1463.6
Slovenia,SVN,low,3,58.5,44.4
North Macedonia,MKD,medium,1,134.1,104.4
Bulgaria,BGR,medium,2,409.0,326.3
Serbia,SRB,medium,3,379.2,307.1
Slovenia,SVN,high,1,15.4,33.8
Latvia,LVA,high,2,23.1,46.9
Cyprus,CYP,high,3,20.1,36.1
