name,abbreviation,level,rank,valueM,valueF
Malta,MLT,low,1,11.5,7.4
Iceland,ISL,low,2,16.2,11.7
Spain,ESP,low,3,1452.7,1083.6
Norway,NOR,medium,1,203.8,154.8
Slovenia,SVN,medium,2,91.2,70.1
Slovakia,SVK,medium,3,253.0,195.0
Croatia,HRV,high,1,41.0,74.4
Latvia,LVA,high,2,18.2,32.5
Cyprus,CYP,high,3,20.0,35.6
