name,abbreviation,level,rank,valueM,valueF
Malta,MLT,low,1,17.7,12.2
Spain,ESP,low,2,2054.5,1523.0
Estonia,EST,low,3,55.5,42.5
Bulgaria,BGR,medium,1,412.8,326.4
North Macedonia,MKD,medium,2,132.8,105.1
Türkiye,TUR,medium,3,2502.6,2044.7
Latvia,LVA,high,1,23.0,49.7
Slovenia,SVN,high,2,15.7,31.4
Estonia,EST,high,3,16.3,32.5
