name,abbreviation,level,rank,valueM,valueF
Malta,MLT,low,1,16.5,12.0
Latvia,LVA,low,2,77.3,57.4
Spain,ESP,low,3,1888.6,1422.5
North Macedonia,MKD,medium,1,131.2,98.9
Serbia,SRB,medium,2,373.6,300.1
Poland,POL,medium,3,2027.6,1656.7
Latvia,LVA,high,1,25.6,51.1
Slovenia,SVN,high,2,18.0,34.9
Finland,FIN,high,3,45.8,83.5
