name,abbreviation,level,rank,valueM,valueF
Malta,MLT,low,1,11.9,8.5
Iceland,ISL,low,2,16.8,12.7
Spain,ESP,low,3,1503.7,1153.7
Cyprus,CYP,medium,1,36.2,26.8
Montenegro,MNE,medium,2,41.6,32.2
Slovakia,SVK,medium,3,267.0,210.4
Cyprus,CYP,high,1,21.4,37.8
Portugal,PRT,high,2,112.8,196.0
Estonia,EST,high,3,15.2,25.7
