name,abbreviation,level,rank,valueM,valueF
Malta,MLT,low,1,10.5,7.4
Iceland,ISL,low,2,16.5,13.0
Portugal,PRT,low,3,291.8,230.2
Slovenia,SVN,medium,1,87.9,65.3
Slovakia,SVK,medium,2,232.5,173.3
Malta,MLT,medium,3,27.7,21.8
Croatia,HRV,high,1,38.6,69.5
Slovakia,SVK,high,2,60.6,107.4
Latvia,LVA,high,3,19.7,34.8
