name,abbreviation,level,rank,valueM,valueF
Malta,MLT,low,1,14.0,9.1
Iceland,ISL,low,2,16.9,12.3
Estonia,EST,low,3,45.2,34.2
Cyprus,CYP,medium,1,35.5,25.9
North Macedonia,MKD,medium,2,127.1,96.3
Montenegro,MNE,medium,3,41.9,32.5
Estonia,EST,high,1,14.9,30.0
Cyprus,CYP,high,2,19.0,38.2
Latvia,LVA,high,3,25.5,45.4
