Country,Abbreviation,low,medium,high
Türkiye,TUR,11292.5,4496.6,1999.2
Italy,ITA,4054.3,4344.2,922.9
Germany,DEU,3963.9,6529.7,1450.6
France,FRA,3837.4,4687.8,2619.0
Spain,ESP,3438.9,2232.3,1762.6
Poland,POL,2364.1,3838.9,1560.4
Romania,ROU,1544.7,1789.9,446.8
Netherlands,NLD,1169.2,1234.1,560.2
Portugal,PRT,920.5,606.5,266.5
Belgium,BEL,729.1,837.7,448.1
Greece,GRC,690.5,873.0,323.2
Hungary,HUN,681.9,894.2,218.6
Sweden,SWE,666.4,849.0,306.7
Czechia,CZE,593.4,1118.4,246.9
Austria,AUT,540.0,858.9,127.1
Switzerland,CHE,531.2,687.8,220.4
Denmark,DNK,492.4,354.8,126.9
Bulgaria,BGR,454.3,735.2,160.2
Serbia,SRB,420.8,686.3,117.1
Norway,NOR,379.9,333.4,175.1
Finland,FIN,375.9,483.0,126.0
Slovakia,SVK,364.7,650.7,175.9
Ireland,IRL,292.3,386.0,237.1
Lithuania,LTU,223.5,259.1,116.6
Croatia,HRV,211.9,485.3,86.2
North Macedonia,MKD,174.6,238.4,66.5
Latvia,LVA,158.7,190.9,70.0
Slovenia,SVN,103.0,220.4,49.1
Estonia,EST,92.4,124.6,49.0
Cyprus,CYP,55.2,65.8,56.2
Montenegro,MNE,41.0,75.6,16.9
Luxembourg,LUX,40.1,33.8,18.8
Iceland,ISL,32.8,21.5,8.0
Malta,MLT,29.0,41.4,14.5
