name,sex,percentage,total,abbreviation
Netherlands,M,3.8,4.2,NLD
Netherlands,F,4.6,4.2,NLD
Iceland,M,5.4,5.3,ISL
Iceland,F,5.2,5.3,ISL
Sweden,M,5.4,5.6,SWE
Sweden,F,5.9,5.6,SWE
Norway,M,6.8,6.8,NOR
Norway,F,6.8,6.8,NOR
Luxembourg,M,7.2,6.8,LUX
Luxembourg,F,6.4,6.8,LUX
Malta,M,7.0,7.2,MLT
Malta,F,7.3,7.2,MLT
Denmark,M,7.6,7.9,DNK
Denmark,F,8.3,7.9,DNK
Slovenia,M,7.2,8.4,SVN
Slovenia,F,9.8,8.4,SVN
Portugal,M,8.5,8.6,PRT
Portugal,F,8.8,8.6,PRT
Germany,M,7.1,8.6,DEU
Germany,F,10.2,8.6,DEU
Ireland,M,7.8,8.7,IRL
Ireland,F,9.7,8.7,IRL
Austria,M,8.5,9.1,AUT
Austria,F,9.6,9.1,AUT
Belgium,M,9.3,9.2,BEL
Belgium,F,9.1,9.2,BEL
Finland,M,10.0,9.3,FIN
Finland,F,8.6,9.3,FIN
Estonia,M,11.9,10.6,EST
Estonia,F,9.2,10.6,EST
Lithuania,M,9.6,10.7,LTU
Lithuania,F,11.8,10.7,LTU
Hungary,M,8.3,10.8,HUN
Hungary,F,13.3,10.8,HUN
Poland,M,8.2,10.9,POL
Poland,F,13.6,10.9,POL
Latvia,M,11.0,11.3,LVA
Latvia,F,11.6,11.3,LVA
Czechia,M,6.1,11.4,CZE
Czechia,F,17.1,11.4,CZE
France,M,11.9,12.0,FRA
France,F,12.1,12.0,FRA
Slovakia,M,10.8,12.3,SVK
Slovakia,F,13.9,12.3,SVK
Spain,M,12.1,12.7,ESP
Spain,F,13.3,12.7,ESP
Croatia,M,11.5,13.3,HRV
Croatia,F,15.1,13.3,HRV
Cyprus,M,12.3,14.7,CYP
Cyprus,F,17.0,14.7,CYP
Serbia,M,13.6,15.1,SRB
Serbia,F,16.8,15.1,SRB
Bulgaria,M,12.9,15.1,BGR
Bulgaria,F,17.4,15.1,BGR
Greece,M,14.1,15.3,GRC
Greece,F,16.5,15.3,GRC
Italy,M,17.7,19.0,ITA
Italy,F,20.5,19.0,ITA
Romania,M,14.5,19.8,ROU
Romania,F,25.4,19.8,ROU
