name,sex,percentage,total,abbreviation
Netherlands,M,3.6,3.9,NLD
Netherlands,F,4.2,3.9,NLD
Sweden,M,5.8,6.0,SWE
Sweden,F,6.3,6.0,SWE
Iceland,M,6.9,7.2,ISL
Iceland,F,7.6,7.2,ISL
Slovenia,M,6.6,7.3,SVN
Slovenia,F,8.2,7.3,SVN
Norway,M,7.5,7.4,NOR
Norway,F,7.3,7.4,NOR
Denmark,M,7.9,8.3,DNK
Denmark,F,8.8,8.3,DNK
Luxembourg,M,9.0,8.8,LUX
Luxembourg,F,8.5,8.8,LUX
Finland,M,9.7,9.2,FIN
Finland,F,8.7,9.2,FIN
Austria,M,8.5,9.4,AUT
Austria,F,10.3,9.4,AUT
Malta,M,8.3,9.5,MLT
Malta,F,10.9,9.5,MLT
Germany,M,8.1,9.5,DEU
Germany,F,10.9,9.5,DEU
Portugal,M,9.7,9.8,PRT
Portugal,F,10.0,9.8,PRT
Ireland,M,9.9,9.8,IRL
Ireland,F,9.6,9.8,IRL
Belgium,M,10.4,10.1,BEL
Belgium,F,9.7,10.1,BEL
Czechia,M,4.8,10.9,CZE
Czechia,F,17.3,10.9,CZE
Estonia,M,10.7,11.2,EST
Estonia,F,11.7,11.2,EST
Hungary,M,8.7,11.7,HUN
Hungary,F,14.8,11.7,HUN
Latvia,M,11.5,12.1,LVA
Latvia,F,12.6,12.1,LVA
Lithuania,M,11.9,12.7,LTU
Lithuania,F,13.5,12.7,LTU
France,M,12.5,12.8,FRA
France,F,13.0,12.8,FRA
Poland,M,10.1,13.4,POL
Poland,F,16.9,13.4,POL
Spain,M,14.4,14.1,ESP
Spain,F,13.8,14.1,ESP
Slovakia,M,11.1,14.2,SVK
Slovakia,F,17.5,14.2,SVK
Croatia,M,13.8,14.9,HRV
Croatia,F,16.2,14.9,HRV
Cyprus,M,14.5,15.4,CYP
Cyprus,F,16.3,15.4,CYP
Greece,M,16.5,17.2,GRC
Greece,F,17.9,17.2,GRC
Bulgaria,M,14.5,17.6,BGR
Bulgaria,F,20.9,17.6,BGR
Serbia,M,17.3,18.8,SRB
Serbia,F,20.4,18.8,SRB
Romania,M,14.6,20.3,ROU
Romania,F,26.3,20.3,ROU
Italy,M,21.2,23.1,ITA
Italy,F,25.0,23.1,ITA
