name,sex,percentage,total,abbreviation
Luxembourg,M,5.1,6.1,LUX
Luxembourg,F,7.0,6.1,LUX
Netherlands,M,5.4,6.8,NLD
Netherlands,F,8.2,6.8,NLD
Sweden,M,7.7,7.8,SWE
Sweden,F,7.9,7.8,SWE
Norway,M,7.4,7.9,NOR
Norway,F,8.5,7.9,NOR
Slovenia,M,7.9,8.0,SVN
Slovenia,F,8.1,8.0,SVN
Switzerland,M,6.7,8.1,CHE
Switzerland,F,9.6,8.1,CHE
Denmark,M,8.6,8.2,DNK
Denmark,F,7.7,8.2,DNK
Austria,M,7.8,9.5,AUT
Austria,F,11.2,9.5,AUT
Iceland,M,9.1,10.0,ISL
Iceland,F,11.0,10.0,ISL
Finland,M,9.2,10.0,FIN
Finland,F,10.9,10.0,FIN
France,M,11.3,12.1,FRA
France,F,13.0,12.1,FRA
Malta,M,8.4,12.2,MLT
Malta,F,16.1,12.2,MLT
Germany,M,9.6,12.2,DEU
Germany,F,14.9,12.2,DEU
Belgium,M,10.4,12.3,BEL
Belgium,F,14.1,12.3,BEL
Czechia,M,8.3,12.9,CZE
Czechia,F,17.7,12.9,CZE
Cyprus,M,10.8,12.9,CYP
Cyprus,F,14.8,12.9,CYP
Portugal,M,12.1,13.3,PRT
Portugal,F,14.4,13.3,PRT
Poland,M,13.1,14.9,POL
Poland,F,16.7,14.9,POL
Hungary,M,14.3,15.6,HUN
Hungary,F,16.8,15.6,HUN
Lithuania,M,19.3,17.0,LTU
Lithuania,F,14.5,17.0,LTU
Estonia,M,16.3,17.1,EST
Estonia,F,17.9,17.1,EST
Croatia,M,18.0,17.6,HRV
Croatia,F,17.3,17.6,HRV
Slovakia,M,17.1,18.2,SVK
Slovakia,F,19.4,18.2,SVK
Greece,M,14.6,18.2,GRC
Greece,F,21.8,18.2,GRC
Spain,M,20.3,20.0,ESP
Spain,F,19.7,20.0,ESP
Latvia,M,20.5,20.7,LVA
Latvia,F,21.0,20.7,LVA
Ireland,M,23.2,21.7,IRL
Ireland,F,20.3,21.7,IRL
Italy,M,19.0,22.2,ITA
Italy,F,25.4,22.2,ITA
Bulgaria,M,21.2,23.5,BGR
Bulgaria,F,25.9,23.5,BGR
Romania,M,20.3,24.2,ROU
Romania,F,28.4,24.2,ROU
Serbia,M,28.1,29.4,SRB
Serbia,F,30.9,29.4,SRB
North Macedonia,M,28.6,31.8,MKD
North Macedonia,F,35.1,31.8,MKD
Türkiye,M,18.7,35.2,TUR
Türkiye,F,51.3,35.2,TUR
