name,sex,percentage,total,abbreviation
Iceland,M,4.9,5.4,ISL
Iceland,F,5.9,5.4,ISL
Netherlands,M,5.2,6.3,NLD
Netherlands,F,7.4,6.3,NLD
Sweden,M,6.5,6.5,SWE
Sweden,F,6.6,6.5,SWE
Switzerland,M,6.6,6.6,CHE
Switzerland,F,6.5,6.6,CHE
Malta,M,5.9,7.3,MLT
Malta,F,8.9,7.3,MLT
Slovenia,M,6.6,7.5,SVN
Slovenia,F,8.4,7.5,SVN
Luxembourg,M,5.4,7.5,LUX
Luxembourg,F,9.6,7.5,LUX
Norway,M,6.7,7.6,NOR
Norway,F,8.7,7.6,NOR
Austria,M,7.2,8.8,AUT
Austria,F,10.4,8.8,AUT
Germany,M,6.8,9.0,DEU
Germany,F,11.3,9.0,DEU
Lithuania,M,8.8,9.3,LTU
Lithuania,F,9.9,9.3,LTU
Czechia,M,4.0,9.5,CZE
Czechia,F,15.3,9.5,CZE
Portugal,M,9.2,9.6,PRT
Portugal,F,10.0,9.6,PRT
Finland,M,8.6,9.6,FIN
Finland,F,10.6,9.6,FIN
Denmark,M,9.5,9.6,DNK
Denmark,F,9.7,9.6,DNK
Hungary,M,7.5,10.6,HUN
Hungary,F,13.9,10.6,HUN
Belgium,M,9.7,11.4,BEL
Belgium,F,13.1,11.4,BEL
Estonia,M,9.7,11.5,EST
Estonia,F,13.2,11.5,EST
Latvia,M,10.8,11.6,LVA
Latvia,F,12.4,11.6,LVA
Ireland,M,10.7,11.6,IRL
Ireland,F,12.5,11.6,IRL
Poland,M,8.4,12.2,POL
Poland,F,16.2,12.2,POL
France,M,12.6,12.9,FRA
France,F,13.2,12.9,FRA
Slovakia,M,10.1,13.8,SVK
Slovakia,F,17.6,13.8,SVK
Cyprus,M,14.2,14.9,CYP
Cyprus,F,15.5,14.9,CYP
Spain,M,14.7,15.3,ESP
Spain,F,16.0,15.3,ESP
Croatia,M,13.6,15.6,HRV
Croatia,F,17.7,15.6,HRV
Bulgaria,M,14.6,18.2,BGR
Bulgaria,F,21.9,18.2,BGR
Greece,M,17.8,19.2,GRC
Greece,F,20.6,19.2,GRC
Serbia,M,18.2,20.4,SRB
Serbia,F,22.7,20.4,SRB
Montenegro,M,21.2,21.0,MNE
Montenegro,F,20.8,21.0,MNE
Romania,M,16.6,21.3,ROU
Romania,F,26.3,21.3,ROU
Italy,M,21.1,23.5,ITA
Italy,F,26.1,23.5,ITA
Türkiye,M,15.3,27.6,TUR
Türkiye,F,40.2,27.6,TUR
North Macedonia,M,25.9,29.8,MKD
North Macedonia,F,33.9,29.8,MKD
