name,sex,percentage,total,abbreviation
Iceland,M,3.4,4.1,ISL
Iceland,F,4.8,4.1,ISL
Sweden,M,6.3,6.4,SWE
Sweden,F,6.6,6.4,SWE
Netherlands,M,5.3,6.5,NLD
Netherlands,F,7.9,6.5,NLD
Luxembourg,M,6.4,6.6,LUX
Luxembourg,F,6.9,6.6,LUX
Switzerland,M,7.3,7.2,CHE
Switzerland,F,7.1,7.2,CHE
Norway,M,6.3,7.7,NOR
Norway,F,9.1,7.7,NOR
Slovenia,M,7.2,7.9,SVN
Slovenia,F,8.7,7.9,SVN
Malta,M,7.8,8.8,MLT
Malta,F,9.8,8.8,MLT
Austria,M,7.9,8.8,AUT
Austria,F,9.6,8.8,AUT
Germany,M,7.4,9.6,DEU
Germany,F,12.0,9.6,DEU
Denmark,M,9.1,9.8,DNK
Denmark,F,10.5,9.8,DNK
Czechia,M,4.6,10.0,CZE
Czechia,F,15.5,10.0,CZE
Lithuania,M,9.8,10.2,LTU
Lithuania,F,10.8,10.2,LTU
Finland,M,9.9,10.4,FIN
Finland,F,11.0,10.4,FIN
Estonia,M,8.5,10.5,EST
Estonia,F,12.6,10.5,EST
Portugal,M,10.4,10.6,PRT
Portugal,F,10.7,10.6,PRT
Hungary,M,7.9,11.2,HUN
Hungary,F,14.7,11.2,HUN
Belgium,M,10.5,11.8,BEL
Belgium,F,13.2,11.8,BEL
Latvia,M,11.1,12.3,LVA
Latvia,F,13.5,12.3,LVA
Ireland,M,11.8,12.8,IRL
Ireland,F,13.8,12.8,IRL
Poland,M,9.6,13.0,POL
Poland,F,16.7,13.0,POL
France,M,12.7,13.2,FRA
France,F,13.6,13.2,FRA
Slovakia,M,11.3,15.1,SVK
Slovakia,F,19.1,15.1,SVK
Spain,M,15.7,16.4,ESP
Spain,F,17.1,16.4,ESP
Cyprus,M,15.7,17.6,CYP
Cyprus,F,19.3,17.6,CYP
Croatia,M,16.7,17.9,HRV
Croatia,F,19.1,17.9,HRV
Bulgaria,M,14.8,18.9,BGR
Bulgaria,F,23.3,18.9,BGR
Greece,M,18.8,21.0,GRC
Greece,F,23.1,21.0,GRC
Montenegro,M,20.3,21.4,MNE
Montenegro,F,22.6,21.4,MNE
Serbia,M,20.3,22.1,SRB
Serbia,F,23.9,22.1,SRB
Romania,M,17.9,22.1,ROU
Romania,F,26.5,22.1,ROU
Italy,M,22.0,24.2,ITA
Italy,F,26.6,24.2,ITA
Türkiye,M,14.6,27.5,TUR
Türkiye,F,40.7,27.5,TUR
North Macedonia,M,26.7,31.1,MKD
North Macedonia,F,35.7,31.1,MKD
