name,sex,percentage,total,abbreviation
Iceland,M,5.6,5.3,ISL
Iceland,F,4.9,5.3,ISL
Sweden,M,7.1,7.0,SWE
Sweden,F,6.8,7.0,SWE
Switzerland,M,7.0,7.3,CHE
Switzerland,F,7.7,7.3,CHE
Netherlands,M,5.9,7.3,NLD
Netherlands,F,8.8,7.3,NLD
Luxembourg,M,6.5,7.6,LUX
Luxembourg,F,8.6,7.6,LUX
Norway,M,7.3,8.3,NOR
Norway,F,9.4,8.3,NOR
Denmark,M,8.2,8.5,DNK
Denmark,F,8.9,8.5,DNK
Austria,M,8.4,9.0,AUT
Austria,F,9.7,9.0,AUT
Germany,M,7.3,9.6,DEU
Germany,F,12.1,9.6,DEU
Slovenia,M,10.4,10.5,SVN
Slovenia,F,10.6,10.5,SVN
Malta,M,8.8,11.8,MLT
Malta,F,15.0,11.8,MLT
Lithuania,M,10.7,11.8,LTU
Lithuania,F,13.0,11.8,LTU
Finland,M,11.2,11.8,FIN
Finland,F,12.4,11.8,FIN
Czechia,M,6.6,11.8,CZE
Czechia,F,17.2,11.8,CZE
Estonia,M,8.7,12.4,EST
Estonia,F,16.2,12.4,EST
Hungary,M,11.1,13.1,HUN
Hungary,F,15.3,13.1,HUN
Portugal,M,12.1,13.2,PRT
Portugal,F,14.4,13.2,PRT
Belgium,M,12.2,13.6,BEL
Belgium,F,15.0,13.6,BEL
Latvia,M,12.2,13.8,LVA
Latvia,F,15.4,13.8,LVA
France,M,13.4,13.9,FRA
France,F,14.5,13.9,FRA
Poland,M,13.3,14.9,POL
Poland,F,16.5,14.9,POL
Slovakia,M,14.0,16.4,SVK
Slovakia,F,18.9,16.4,SVK
Ireland,M,16.3,16.5,IRL
Ireland,F,16.6,16.5,IRL
Cyprus,M,17.7,18.5,CYP
Cyprus,F,19.2,18.5,CYP
Spain,M,19.2,19.4,ESP
Spain,F,19.7,19.4,ESP
Croatia,M,20.5,19.9,HRV
Croatia,F,19.3,19.9,HRV
Bulgaria,M,19.8,22.2,BGR
Bulgaria,F,24.8,22.2,BGR
Montenegro,M,22.8,23.4,MNE
Montenegro,F,24.1,23.4,MNE
Greece,M,23.0,23.8,GRC
Greece,F,24.6,23.8,GRC
Serbia,M,23.7,25.1,SRB
Serbia,F,26.6,25.1,SRB
Romania,M,21.4,25.8,ROU
Romania,F,30.6,25.8,ROU
Italy,M,23.8,25.8,ITA
Italy,F,27.9,25.8,ITA
Türkiye,M,14.2,27.9,TUR
Türkiye,F,41.6,27.9,TUR
North Macedonia,M,29.9,32.5,MKD
North Macedonia,F,35.3,32.5,MKD
