name,sex,percentage,total,abbreviation
Iceland,M,7.5,7.0,ISL
Iceland,F,6.4,7.0,ISL
Netherlands,M,5.6,7.2,NLD
Netherlands,F,8.9,7.2,NLD
Norway,M,6.4,7.6,NOR
Norway,F,8.9,7.6,NOR
Luxembourg,M,6.1,7.6,LUX
Luxembourg,F,9.0,7.6,LUX
Switzerland,M,6.8,7.7,CHE
Switzerland,F,8.7,7.7,CHE
Sweden,M,7.8,7.9,SWE
Sweden,F,8.0,7.9,SWE
Austria,M,7.1,8.6,AUT
Austria,F,10.1,8.6,AUT
Denmark,M,8.9,9.0,DNK
Denmark,F,9.0,9.0,DNK
Finland,M,9.0,9.9,FIN
Finland,F,10.7,9.9,FIN
Slovenia,M,9.7,10.1,SVN
Slovenia,F,10.5,10.1,SVN
Germany,M,7.9,10.6,DEU
Germany,F,13.3,10.6,DEU
Malta,M,9.3,12.0,MLT
Malta,F,14.7,12.0,MLT
France,M,11.7,12.4,FRA
France,F,13.2,12.4,FRA
Czechia,M,8.4,12.9,CZE
Czechia,F,17.7,12.9,CZE
Belgium,M,11.8,13.6,BEL
Belgium,F,15.4,13.6,BEL
Lithuania,M,14.8,13.9,LTU
Lithuania,F,13.0,13.9,LTU
Estonia,M,11.6,14.1,EST
Estonia,F,16.6,14.1,EST
Portugal,M,15.5,15.6,PRT
Portugal,F,15.7,15.6,PRT
Poland,M,13.6,15.9,POL
Poland,F,18.2,15.9,POL
Hungary,M,15.3,16.9,HUN
Hungary,F,18.5,16.9,HUN
Latvia,M,16.0,17.2,LVA
Latvia,F,18.4,17.2,LVA
Cyprus,M,17.2,17.3,CYP
Cyprus,F,17.4,17.3,CYP
Slovakia,M,16.5,18.0,SVK
Slovakia,F,19.6,18.0,SVK
Croatia,M,20.0,19.7,HRV
Croatia,F,19.3,19.7,HRV
Ireland,M,23.0,21.6,IRL
Ireland,F,20.3,21.6,IRL
Spain,M,22.8,22.2,ESP
Spain,F,21.6,22.2,ESP
Italy,M,21.4,23.9,ITA
Italy,F,26.6,23.9,ITA
Romania,M,21.3,24.3,ROU
Romania,F,27.4,24.3,ROU
Montenegro,M,23.3,24.4,MNE
Montenegro,F,25.7,24.4,MNE
Bulgaria,M,23.0,24.7,BGR
Bulgaria,F,26.5,24.7,BGR
Greece,M,25.1,26.4,GRC
Greece,F,27.7,26.4,GRC
Serbia,M,28.4,30.5,SRB
Serbia,F,33.1,30.5,SRB
Türkiye,M,16.6,31.7,TUR
Türkiye,F,46.7,31.7,TUR
North Macedonia,M,30.2,32.1,MKD
North Macedonia,F,34.1,32.1,MKD
