name,sex,percentage,total,abbreviation
Iceland,M,6.8,6.4,ISL
Iceland,F,5.9,6.4,ISL
Luxembourg,M,6.7,7.2,LUX
Luxembourg,F,7.7,7.2,LUX
Sweden,M,7.4,7.4,SWE
Sweden,F,7.4,7.4,SWE
Switzerland,M,7.4,8.0,CHE
Switzerland,F,8.6,8.0,CHE
Netherlands,M,6.9,8.2,NLD
Netherlands,F,9.4,8.2,NLD
Denmark,M,7.8,8.2,DNK
Denmark,F,8.7,8.2,DNK
Norway,M,7.1,8.3,NOR
Norway,F,9.5,8.3,NOR
Austria,M,7.7,9.0,AUT
Austria,F,10.3,9.0,AUT
Germany,M,7.5,9.9,DEU
Germany,F,12.4,9.9,DEU
Finland,M,10.0,10.4,FIN
Finland,F,10.8,10.4,FIN
Malta,M,9.1,10.9,MLT
Malta,F,12.7,10.9,MLT
Slovenia,M,10.4,11.0,SVN
Slovenia,F,11.5,11.0,SVN
Czechia,M,8.2,12.8,CZE
Czechia,F,17.7,12.8,CZE
France,M,12.3,13.0,FRA
France,F,13.8,13.0,FRA
Estonia,M,11.1,13.5,EST
Estonia,F,16.1,13.5,EST
Lithuania,M,13.2,13.7,LTU
Lithuania,F,14.3,13.7,LTU
Belgium,M,12.5,14.1,BEL
Belgium,F,15.7,14.1,BEL
Latvia,M,13.9,15.6,LVA
Latvia,F,17.3,15.6,LVA
Portugal,M,16.0,16.4,PRT
Portugal,F,16.9,16.4,PRT
Poland,M,14.2,16.4,POL
Poland,F,18.8,16.4,POL
Hungary,M,14.5,16.7,HUN
Hungary,F,19.0,16.7,HUN
Slovakia,M,17.2,18.3,SVK
Slovakia,F,19.4,18.3,SVK
Ireland,M,19.0,18.8,IRL
Ireland,F,18.5,18.8,IRL
Cyprus,M,20.7,20.4,CYP
Cyprus,F,20.1,20.4,CYP
Croatia,M,22.5,22.3,HRV
Croatia,F,22.1,22.3,HRV
Spain,M,22.8,22.5,ESP
Spain,F,22.1,22.5,ESP
Montenegro,M,23.9,23.6,MNE
Montenegro,F,23.3,23.6,MNE
Romania,M,21.3,24.5,ROU
Romania,F,27.9,24.5,ROU
Bulgaria,M,23.7,25.8,BGR
Bulgaria,F,27.9,25.8,BGR
Italy,M,24.1,26.2,ITA
Italy,F,28.3,26.2,ITA
Greece,M,27.7,28.1,GRC
Greece,F,28.5,28.1,GRC
Türkiye,M,14.8,29.3,TUR
Türkiye,F,43.8,29.3,TUR
Serbia,M,26.7,29.8,SRB
Serbia,F,33.2,29.8,SRB
North Macedonia,M,28.1,31.3,MKD
North Macedonia,F,34.6,31.3,MKD
