name,sex,percentage,total,abbreviation
Luxembourg,M,7.3,6.5,LUX
Luxembourg,F,5.6,6.5,LUX
Iceland,M,7.2,6.9,ISL
Iceland,F,6.5,6.9,ISL
Sweden,M,7.5,7.4,SWE
Sweden,F,7.3,7.4,SWE
Switzerland,M,7.4,7.7,CHE
Switzerland,F,8.0,7.7,CHE
Denmark,M,7.4,8.0,DNK
Denmark,F,8.7,8.0,DNK
Netherlands,M,6.6,8.2,NLD
Netherlands,F,9.9,8.2,NLD
Norway,M,7.1,8.4,NOR
Norway,F,9.8,8.4,NOR
Austria,M,8.6,9.7,AUT
Austria,F,10.9,9.7,AUT
Germany,M,7.4,9.8,DEU
Germany,F,12.4,9.8,DEU
Slovenia,M,10.0,11.0,SVN
Slovenia,F,12.1,11.0,SVN
Finland,M,11.4,11.2,FIN
Finland,F,11.1,11.2,FIN
Malta,M,8.9,11.6,MLT
Malta,F,14.5,11.6,MLT
Czechia,M,7.0,12.1,CZE
Czechia,F,17.4,12.1,CZE
Lithuania,M,11.5,12.9,LTU
Lithuania,F,14.3,12.9,LTU
Estonia,M,11.2,13.2,EST
Estonia,F,15.2,13.2,EST
Belgium,M,12.3,13.3,BEL
Belgium,F,14.2,13.3,BEL
France,M,12.9,13.4,FRA
France,F,13.9,13.4,FRA
Portugal,M,14.0,14.6,PRT
Portugal,F,15.3,14.6,PRT
Hungary,M,12.2,14.7,HUN
Hungary,F,17.2,14.7,HUN
Latvia,M,12.6,15.2,LVA
Latvia,F,17.9,15.2,LVA
Poland,M,13.7,15.7,POL
Poland,F,17.9,15.7,POL
Slovakia,M,15.8,17.5,SVK
Slovakia,F,19.2,17.5,SVK
Ireland,M,17.3,17.8,IRL
Ireland,F,18.2,17.8,IRL
Cyprus,M,20.5,19.5,CYP
Cyprus,F,18.5,19.5,CYP
Spain,M,20.5,20.7,ESP
Spain,F,20.9,20.7,ESP
Croatia,M,22.4,21.8,HRV
Croatia,F,21.2,21.8,HRV
Montenegro,M,22.5,22.5,MNE
Montenegro,F,22.5,22.5,MNE
Bulgaria,M,21.2,24.0,BGR
Bulgaria,F,26.9,24.0,BGR
Romania,M,21.7,24.8,ROU
Romania,F,28.1,24.8,ROU
Serbia,M,24.5,26.0,SRB
Serbia,F,27.6,26.0,SRB
Italy,M,24.3,26.3,ITA
Italy,F,28.4,26.3,ITA
Greece,M,25.7,26.3,GRC
Greece,F,26.9,26.3,GRC
Türkiye,M,14.6,28.4,TUR
Türkiye,F,42.3,28.4,TUR
North Macedonia,M,27.8,31.9,MKD
North Macedonia,F,36.2,31.9,MKD
