name,sex,percentage,total,abbreviation
Switzerland,M,6.6,6.3,CHE
Switzerland,F,5.9,6.3,CHE
Netherlands,M,5.5,6.3,NLD
Netherlands,F,7.2,6.3,NLD
Sweden,M,6.9,6.9,SWE
Sweden,F,6.8,6.9,SWE
Iceland,M,6.7,7.0,ISL
Iceland,F,7.4,7.0,ISL
Luxembourg,M,8.7,7.7,LUX
Luxembourg,F,6.6,7.7,LUX
Norway,M,7.2,7.8,NOR
Norway,F,8.5,7.8,NOR
Slovenia,M,6.9,7.9,SVN
Slovenia,F,8.9,7.9,SVN
Malta,M,8.5,9.5,MLT
Malta,F,10.5,9.5,MLT
Germany,M,8.6,9.6,DEU
Germany,F,10.7,9.6,DEU
Finland,M,9.6,9.8,FIN
Finland,F,9.9,9.8,FIN
Austria,M,9.6,9.9,AUT
Austria,F,10.2,9.9,AUT
Denmark,M,9.9,10.2,DNK
Denmark,F,10.5,10.2,DNK
Portugal,M,11.0,11.0,PRT
Portugal,F,11.1,11.0,PRT
Czechia,M,4.7,11.0,CZE
Czechia,F,17.6,11.0,CZE
Estonia,M,9.3,11.1,EST
Estonia,F,12.9,11.1,EST
Belgium,M,10.3,11.3,BEL
Belgium,F,12.4,11.3,BEL
Latvia,M,11.3,11.9,LVA
Latvia,F,12.6,11.9,LVA
Hungary,M,10.0,12.3,HUN
Hungary,F,14.8,12.3,HUN
Lithuania,M,13.6,13.0,LTU
Lithuania,F,12.4,13.0,LTU
Poland,M,9.3,13.1,POL
Poland,F,17.1,13.1,POL
France,M,13.1,13.4,FRA
France,F,13.7,13.4,FRA
Ireland,M,13.8,14.1,IRL
Ireland,F,14.5,14.1,IRL
Slovakia,M,11.1,14.4,SVK
Slovakia,F,17.8,14.4,SVK
Croatia,M,13.3,14.6,HRV
Croatia,F,16.0,14.6,HRV
Cyprus,M,14.2,15.3,CYP
Cyprus,F,16.3,15.3,CYP
Spain,M,17.3,17.3,ESP
Spain,F,17.3,17.3,ESP
Bulgaria,M,14.8,18.2,BGR
Bulgaria,F,21.7,18.2,BGR
Greece,M,18.5,18.5,GRC
Greece,F,18.5,18.5,GRC
Serbia,M,18.8,20.3,SRB
Serbia,F,21.9,20.3,SRB
Romania,M,15.7,20.6,ROU
Romania,F,25.9,20.6,ROU
Italy,M,21.0,23.5,ITA
Italy,F,26.1,23.5,ITA
North Macedonia,M,23.6,26.2,MKD
North Macedonia,F,29.0,26.2,MKD
Montenegro,M,26.2,26.6,MNE
Montenegro,F,26.9,26.6,MNE
Türkiye,M,21.3,32.0,TUR
Türkiye,F,42.8,32.0,TUR
