name,sex,percentage,total,abbreviation
Netherlands,M,5.1,6.5,NLD
Netherlands,F,8.0,6.5,NLD
Luxembourg,M,5.0,6.6,LUX
Luxembourg,F,8.2,6.6,LUX
Sweden,M,7.3,7.5,SWE
Sweden,F,7.6,7.5,SWE
Iceland,M,7.4,7.6,ISL
Iceland,F,7.7,7.6,ISL
Norway,M,6.5,7.8,NOR
Norway,F,9.2,7.8,NOR
Switzerland,M,7.3,7.9,CHE
Switzerland,F,8.7,7.9,CHE
Slovenia,M,8.3,8.0,SVN
Slovenia,F,7.7,8.0,SVN
Denmark,M,7.9,8.4,DNK
Denmark,F,8.9,8.4,DNK
Austria,M,7.4,8.9,AUT
Austria,F,10.4,8.9,AUT
Finland,M,8.8,9.6,FIN
Finland,F,10.4,9.6,FIN
Germany,M,8.5,11.0,DEU
Germany,F,13.5,11.0,DEU
France,M,10.9,12.0,FRA
France,F,13.2,12.0,FRA
Malta,M,9.4,12.1,MLT
Malta,F,14.9,12.1,MLT
Czechia,M,7.6,12.1,CZE
Czechia,F,16.9,12.1,CZE
Belgium,M,10.9,13.1,BEL
Belgium,F,15.3,13.1,BEL
Portugal,M,12.9,13.9,PRT
Portugal,F,14.8,13.9,PRT
Estonia,M,12.8,14.1,EST
Estonia,F,15.4,14.1,EST
Lithuania,M,15.9,14.7,LTU
Lithuania,F,13.3,14.7,LTU
Cyprus,M,14.2,14.8,CYP
Cyprus,F,15.4,14.8,CYP
Poland,M,13.3,15.4,POL
Poland,F,17.7,15.4,POL
Hungary,M,13.7,15.5,HUN
Hungary,F,17.4,15.5,HUN
Slovakia,M,16.9,18.0,SVK
Slovakia,F,19.0,18.0,SVK
Latvia,M,17.9,19.1,LVA
Latvia,F,20.3,19.1,LVA
Croatia,M,19.3,19.1,HRV
Croatia,F,18.9,19.1,HRV
Spain,M,20.8,20.6,ESP
Spain,F,20.4,20.6,ESP
Ireland,M,23.8,22.4,IRL
Ireland,F,20.9,22.4,IRL
Italy,M,19.7,22.7,ITA
Italy,F,25.8,22.7,ITA
Greece,M,20.3,22.7,GRC
Greece,F,25.0,22.7,GRC
Romania,M,21.6,24.4,ROU
Romania,F,27.3,24.4,ROU
Montenegro,M,23.7,24.6,MNE
Montenegro,F,25.6,24.6,MNE
Bulgaria,M,23.0,24.8,BGR
Bulgaria,F,26.7,24.8,BGR
Serbia,M,29.0,30.5,SRB
Serbia,F,32.3,30.5,SRB
North Macedonia,M,28.6,31.6,MKD
North Macedonia,F,34.8,31.6,MKD
Türkiye,M,16.4,32.7,TUR
Türkiye,F,48.7,32.7,TUR
