name,sex,percentage,total,abbreviation
Iceland,M,6.6,5.7,ISL
Iceland,F,4.8,5.7,ISL
Sweden,M,6.0,5.9,SWE
Sweden,F,5.9,5.9,SWE
Switzerland,M,6.5,6.2,CHE
Switzerland,F,6.0,6.2,CHE
Netherlands,M,5.7,6.3,NLD
Netherlands,F,6.9,6.3,NLD
Luxembourg,M,7.0,6.5,LUX
Luxembourg,F,5.9,6.5,LUX
Slovenia,M,5.9,7.5,SVN
Slovenia,F,9.2,7.5,SVN
Norway,M,6.3,7.5,NOR
Norway,F,8.8,7.5,NOR
Malta,M,6.3,7.9,MLT
Malta,F,9.6,7.9,MLT
Germany,M,6.5,8.6,DEU
Germany,F,11.0,8.6,DEU
Austria,M,7.0,8.6,AUT
Austria,F,10.3,8.6,AUT
Finland,M,8.3,9.1,FIN
Finland,F,9.9,9.1,FIN
Portugal,M,8.3,9.2,PRT
Portugal,F,10.1,9.2,PRT
Denmark,M,9.5,9.6,DNK
Denmark,F,9.6,9.6,DNK
Estonia,M,7.3,9.7,EST
Estonia,F,12.2,9.7,EST
Czechia,M,4.0,9.8,CZE
Czechia,F,15.9,9.8,CZE
Latvia,M,10.0,10.2,LVA
Latvia,F,10.6,10.2,LVA
Lithuania,M,10.9,10.9,LTU
Lithuania,F,11.0,10.9,LTU
Hungary,M,8.7,11.0,HUN
Hungary,F,13.4,11.0,HUN
Belgium,M,9.8,11.2,BEL
Belgium,F,12.5,11.2,BEL
Ireland,M,10.5,11.4,IRL
Ireland,F,12.4,11.4,IRL
Poland,M,8.0,12.0,POL
Poland,F,16.2,12.0,POL
France,M,12.1,12.4,FRA
France,F,12.6,12.4,FRA
Slovakia,M,10.3,13.7,SVK
Slovakia,F,17.2,13.7,SVK
Cyprus,M,12.2,14.1,CYP
Cyprus,F,15.9,14.1,CYP
Croatia,M,12.2,14.2,HRV
Croatia,F,16.3,14.2,HRV
Spain,M,14.4,14.9,ESP
Spain,F,15.4,14.9,ESP
Bulgaria,M,13.2,16.7,BGR
Bulgaria,F,20.4,16.7,BGR
Greece,M,16.9,17.5,GRC
Greece,F,18.0,17.5,GRC
Serbia,M,17.5,19.3,SRB
Serbia,F,21.2,19.3,SRB
Romania,M,16.2,20.9,ROU
Romania,F,25.8,20.9,ROU
Montenegro,M,21.0,21.3,MNE
Montenegro,F,21.5,21.3,MNE
Italy,M,19.9,22.3,ITA
Italy,F,24.9,22.3,ITA
North Macedonia,M,20.9,24.5,MKD
North Macedonia,F,28.3,24.5,MKD
Türkiye,M,18.3,29.5,TUR
Türkiye,F,40.8,29.5,TUR
