name,sex,percentage,abbreviation
Austria,M,8.4,AUT
Austria,F,9.7,AUT
Belgium,M,12.2,BEL
Belgium,F,15.0,BEL
Bulgaria,M,19.8,BGR
Bulgaria,F,24.8,BGR
Croatia,M,20.5,HRV
Croatia,F,19.3,HRV
Cyprus,M,17.7,CYP
Cyprus,F,19.2,CYP
Czechia,M,6.6,CZE
Czechia,F,17.2,CZE
Denmark,M,8.2,DNK
Denmark,F,8.9,DNK
Estonia,M,8.7,EST
Estonia,F,16.2,EST
Finland,M,11.2,FIN
Finland,F,12.4,FIN
France,M,13.4,FRA
France,F,14.5,FRA
Germany,M,7.3,DEU
Germany,F,12.1,DEU
Greece,M,23.0,GRC
Greece,F,24.6,GRC
Hungary,M,11.1,HUN
Hungary,F,15.3,HUN
Iceland,M,5.6,ISL
Iceland,F,4.9,ISL
Ireland,M,16.3,IRL
Ireland,F,16.6,IRL
Italy,M,23.8,ITA
Italy,F,27.9,ITA
Latvia,M,12.2,LVA
Latvia,F,15.4,LVA
Lithuania,M,10.7,LTU
Lithuania,F,13.0,LTU
Luxembourg,M,6.5,LUX
Luxembourg,F,8.6,LUX
Malta,M,8.8,MLT
Malta,F,15.0,MLT
Montenegro,M,22.8,MNE
Montenegro,F,24.1,MNE
Netherlands,M,5.9,NLD
Netherlands,F,8.8,NLD
North Macedonia,M,29.9,MKD
North Macedonia,F,35.3,MKD
Norway,M,7.3,NOR
Norway,F,9.4,NOR
Poland,M,13.3,POL
Poland,F,16.5,POL
Portugal,M,12.1,PRT
Portugal,F,14.4,PRT
Romania,M,21.4,ROU
Romania,F,30.6,ROU
Serbia,M,23.7,SRB
Serbia,F,26.6,SRB
Slovakia,M,14.0,SVK
Slovakia,F,18.9,SVK
Slovenia,M,10.4,SVN
Slovenia,F,10.6,SVN
Spain,M,19.2,ESP
Spain,F,19.7,ESP
Sweden,M,7.1,SWE
Sweden,F,6.8,SWE
Switzerland,M,7.0,CHE
Switzerland,F,7.7,CHE
Türkiye,M,14.2,TUR
Türkiye,F,41.6,TUR
