name,sex,percentage,abbreviation
Türkiye,M,15.3,TUR
Türkiye,F,40.2,TUR
Switzerland,M,6.6,CHE
Switzerland,F,6.5,CHE
Sweden,M,6.5,SWE
Sweden,F,6.6,SWE
Spain,M,14.7,ESP
Spain,F,16.0,ESP
Slovenia,M,6.6,SVN
Slovenia,F,8.4,SVN
Slovakia,M,10.1,SVK
Slovakia,F,17.6,SVK
Serbia,M,18.2,SRB
Serbia,F,22.7,SRB
Romania,M,16.6,ROU
Romania,F,26.3,ROU
Portugal,M,9.2,PRT
Portugal,F,10.0,PRT
Poland,M,8.4,POL
Poland,F,16.2,POL
Norway,M,6.7,NOR
Norway,F,8.7,NOR
North Macedonia,M,25.9,MKD
North Macedonia,F,33.9,MKD
Netherlands,M,5.2,NLD
Netherlands,F,7.4,NLD
Montenegro,M,21.2,MNE
Montenegro,F,20.8,MNE
Malta,M,5.9,MLT
Malta,F,8.9,MLT
Luxembourg,M,5.4,LUX
Luxembourg,F,9.6,LUX
Lithuania,M,8.8,LTU
Lithuania,F,9.9,LTU
Latvia,M,10.8,LVA
Latvia,F,12.4,LVA
Italy,M,21.1,ITA
Italy,F,26.1,ITA
Ireland,M,10.7,IRL
Ireland,F,12.5,IRL
Iceland,M,4.9,ISL
Iceland,F,5.9,ISL
Hungary,M,7.5,HUN
Hungary,F,13.9,HUN
Greece,M,17.8,GRC
Greece,F,20.6,GRC
Germany,M,6.8,DEU
Germany,F,11.3,DEU
France,M,12.6,FRA
France,F,13.2,FRA
Finland,M,8.6,FIN
Finland,F,10.6,FIN
Estonia,M,9.7,EST
Estonia,F,13.2,EST
Denmark,M,9.5,DNK
Denmark,F,9.7,DNK
Czechia,M,4.0,CZE
Czechia,F,15.3,CZE
Cyprus,M,14.2,CYP
Cyprus,F,15.5,CYP
Croatia,M,13.6,HRV
Croatia,F,17.7,HRV
Bulgaria,M,14.6,BGR
Bulgaria,F,21.9,BGR
Belgium,M,9.7,BEL
Belgium,F,13.1,BEL
Austria,M,7.2,AUT
Austria,F,10.4,AUT
