name,sex,percentage,abbreviation
Türkiye,M,14.6,TUR
Türkiye,F,40.7,TUR
Switzerland,M,7.3,CHE
Switzerland,F,7.1,CHE
Sweden,M,6.3,SWE
Sweden,F,6.6,SWE
Spain,M,15.7,ESP
Spain,F,17.1,ESP
Slovenia,M,7.2,SVN
Slovenia,F,8.7,SVN
Slovakia,M,11.3,SVK
Slovakia,F,19.1,SVK
Serbia,M,20.3,SRB
Serbia,F,23.9,SRB
Romania,M,17.9,ROU
Romania,F,26.5,ROU
Portugal,M,10.4,PRT
Portugal,F,10.7,PRT
Poland,M,9.6,POL
Poland,F,16.7,POL
Norway,M,6.3,NOR
Norway,F,9.1,NOR
North Macedonia,M,26.7,MKD
North Macedonia,F,35.7,MKD
Netherlands,M,5.3,NLD
Netherlands,F,7.9,NLD
Montenegro,M,20.3,MNE
Montenegro,F,22.6,MNE
Malta,M,7.8,MLT
Malta,F,9.8,MLT
Luxembourg,M,6.4,LUX
Luxembourg,F,6.9,LUX
Lithuania,M,9.8,LTU
Lithuania,F,10.8,LTU
Latvia,M,11.1,LVA
Latvia,F,13.5,LVA
Italy,M,22.0,ITA
Italy,F,26.6,ITA
Ireland,M,11.8,IRL
Ireland,F,13.8,IRL
Iceland,M,3.4,ISL
Iceland,F,4.8,ISL
Hungary,M,7.9,HUN
Hungary,F,14.7,HUN
Greece,M,18.8,GRC
Greece,F,23.1,GRC
Germany,M,7.4,DEU
Germany,F,12.0,DEU
France,M,12.7,FRA
France,F,13.6,FRA
Finland,M,9.9,FIN
Finland,F,11.0,FIN
Estonia,M,8.5,EST
Estonia,F,12.6,EST
Denmark,M,9.1,DNK
Denmark,F,10.5,DNK
Czechia,M,4.6,CZE
Czechia,F,15.5,CZE
Cyprus,M,15.7,CYP
Cyprus,F,19.3,CYP
Croatia,M,16.7,HRV
Croatia,F,19.1,HRV
Bulgaria,M,14.8,BGR
Bulgaria,F,23.3,BGR
Belgium,M,10.5,BEL
Belgium,F,13.2,BEL
Austria,M,7.9,AUT
Austria,F,9.6,AUT
