name,sex,percentage,abbreviation
Sweden,M,5.4,SWE
Sweden,F,5.9,SWE
Spain,M,12.1,ESP
Spain,F,13.3,ESP
Slovenia,M,7.2,SVN
Slovenia,F,9.8,SVN
Slovakia,M,10.8,SVK
Slovakia,F,13.9,SVK
Serbia,M,13.6,SRB
Serbia,F,16.8,SRB
Romania,M,14.5,ROU
Romania,F,25.4,ROU
Portugal,M,8.5,PRT
Portugal,F,8.8,PRT
Poland,M,8.2,POL
Poland,F,13.6,POL
Norway,M,6.8,NOR
Norway,F,6.8,NOR
Netherlands,M,3.8,NLD
Netherlands,F,4.6,NLD
Malta,M,7.0,MLT
Malta,F,7.3,MLT
Luxembourg,M,7.2,LUX
Luxembourg,F,6.4,LUX
Lithuania,M,9.6,LTU
Lithuania,F,11.8,LTU
Latvia,M,11.0,LVA
Latvia,F,11.6,LVA
Italy,M,17.7,ITA
Italy,F,20.5,ITA
Ireland,M,7.8,IRL
Ireland,F,9.7,IRL
Iceland,M,5.4,ISL
Iceland,F,5.2,ISL
Hungary,M,8.3,HUN
Hungary,F,13.3,HUN
Greece,M,14.1,GRC
Greece,F,16.5,GRC
Germany,M,7.1,DEU
Germany,F,10.2,DEU
France,M,11.9,FRA
France,F,12.1,FRA
Finland,M,10.0,FIN
Finland,F,8.6,FIN
Estonia,M,11.9,EST
Estonia,F,9.2,EST
Denmark,M,7.6,DNK
Denmark,F,8.3,DNK
Czechia,M,6.1,CZE
Czechia,F,17.1,CZE
Cyprus,M,12.3,CYP
Cyprus,F,17.0,CYP
Croatia,M,11.5,HRV
Croatia,F,15.1,HRV
Bulgaria,M,12.9,BGR
Bulgaria,F,17.4,BGR
Belgium,M,9.3,BEL
Belgium,F,9.1,BEL
Austria,M,8.5,AUT
Austria,F,9.6,AUT
