name,sex,percentage,abbreviation
Sweden,M,5.8,SWE
Sweden,F,6.3,SWE
Spain,M,14.4,ESP
Spain,F,13.8,ESP
Slovenia,M,6.6,SVN
Slovenia,F,8.2,SVN
Slovakia,M,11.1,SVK
Slovakia,F,17.5,SVK
Serbia,M,17.3,SRB
Serbia,F,20.4,SRB
Romania,M,14.6,ROU
Romania,F,26.3,ROU
Portugal,M,9.7,PRT
Portugal,F,10.0,PRT
Poland,M,10.1,POL
Poland,F,16.9,POL
Norway,M,7.5,NOR
Norway,F,7.3,NOR
Netherlands,M,3.6,NLD
Netherlands,F,4.2,NLD
Malta,M,8.3,MLT
Malta,F,10.9,MLT
Luxembourg,M,9.0,LUX
Luxembourg,F,8.5,LUX
Lithuania,M,11.9,LTU
Lithuania,F,13.5,LTU
Latvia,M,11.5,LVA
Latvia,F,12.6,LVA
Italy,M,21.2,ITA
Italy,F,25.0,ITA
Ireland,M,9.9,IRL
Ireland,F,9.6,IRL
Iceland,M,6.9,ISL
Iceland,F,7.6,ISL
Hungary,M,8.7,HUN
Hungary,F,14.8,HUN
Greece,M,16.5,GRC
Greece,F,17.9,GRC
Germany,M,8.1,DEU
Germany,F,10.9,DEU
France,M,12.5,FRA
France,F,13.0,FRA
Finland,M,9.7,FIN
Finland,F,8.7,FIN
Estonia,M,10.7,EST
Estonia,F,11.7,EST
Denmark,M,7.9,DNK
Denmark,F,8.8,DNK
Czechia,M,4.8,CZE
Czechia,F,17.3,CZE
Cyprus,M,14.5,CYP
Cyprus,F,16.3,CYP
Croatia,M,13.8,HRV
Croatia,F,16.2,HRV
Bulgaria,M,14.5,BGR
Bulgaria,F,20.9,BGR
Belgium,M,10.4,BEL
Belgium,F,9.7,BEL
Austria,M,8.5,AUT
Austria,F,10.3,AUT
