name,sex,percentage,abbreviation
Türkiye,M,14.8,TUR
Türkiye,F,40.9,TUR
Switzerland,M,7.3,CHE
Switzerland,F,7.8,CHE
Sweden,M,6.8,SWE
Sweden,F,6.6,SWE
Spain,M,17.4,ESP
Spain,F,18.7,ESP
Slovenia,M,9.4,SVN
Slovenia,F,9.3,SVN
Slovakia,M,11.8,SVK
Slovakia,F,18.5,SVK
Serbia,M,20.8,SRB
Serbia,F,24.8,SRB
Romania,M,19.9,ROU
Romania,F,29.1,ROU
Portugal,M,12.4,PRT
Portugal,F,13.2,PRT
Poland,M,11.3,POL
Poland,F,16.8,POL
Norway,M,7.7,NOR
Norway,F,9.0,NOR
North Macedonia,M,28.7,MKD
North Macedonia,F,34.0,MKD
Netherlands,M,5.8,NLD
Netherlands,F,8.2,NLD
Montenegro,M,21.6,MNE
Montenegro,F,23.1,MNE
Malta,M,6.9,MLT
Malta,F,12.1,MLT
Luxembourg,M,5.4,LUX
Luxembourg,F,8.3,LUX
Lithuania,M,10.8,LTU
Lithuania,F,10.7,LTU
Latvia,M,12.9,LVA
Latvia,F,13.6,LVA
Italy,M,22.0,ITA
Italy,F,27.0,ITA
Ireland,M,14.3,IRL
Ireland,F,14.6,IRL
Iceland,M,4.3,ISL
Iceland,F,5.0,ISL
Hungary,M,9.6,HUN
Hungary,F,14.5,HUN
Greece,M,20.5,GRC
Greece,F,23.3,GRC
Germany,M,7.8,DEU
Germany,F,12.5,DEU
France,M,12.9,FRA
France,F,14.3,FRA
Finland,M,10.7,FIN
Finland,F,11.6,FIN
Estonia,M,8.9,EST
Estonia,F,17.9,EST
Denmark,M,8.2,DNK
Denmark,F,8.7,DNK
Czechia,M,5.6,CZE
Czechia,F,16.8,CZE
Cyprus,M,16.4,CYP
Cyprus,F,19.5,CYP
Croatia,M,19.5,HRV
Croatia,F,19.4,HRV
Bulgaria,M,19.0,BGR
Bulgaria,F,25.9,BGR
Belgium,M,10.6,BEL
Belgium,F,14.0,BEL
Austria,M,8.6,AUT
Austria,F,10.0,AUT
