name,abundance,abbreviation,group
Belgium,240,BEL,200k - 500k
Bulgaria,209,BGR,200k - 500k
Czechia,167,CZE,100k - 200k
Denmark,109,DNK,100k - 200k
Germany,1321,DEU,1000k - 1500k
Estonia,23,EST,< 100k
Ireland,113,IRL,100k - 200k
Greece,341,GRC,200k - 500k
Spain,1148,ESP,1000k - 1500k
France,1489,FRA,1000k - 1500k
Croatia,128,HRV,100k - 200k
Italy,2182,ITA,1500k +
Cyprus,30,CYP,< 100k
Latvia,38,LVA,< 100k
Lithuania,50,LTU,< 100k
Luxembourg,7,LUX,< 100k
Hungary,185,HUN,100k - 200k
Malta,8,MLT,< 100k
Netherlands,208,NLD,200k - 500k
Austria,135,AUT,100k - 200k
Poland,826,POL,500k - 1000k
Portugal,173,PRT,100k - 200k
Romania,752,ROU,500k - 1000k
Slovenia,25,SVN,< 100k
Slovakia,153,SVK,100k - 200k
Finland,100,FIN,100k - 200k
Sweden,120,SWE,100k - 200k
Iceland,3,ISL,< 100k
Norway,79,NOR,< 100k
Switzerland,105,CHE,100k - 200k
Montenegro,29,MNE,< 100k
North Macedonia,132,MKD,100k - 200k
Serbia,259,SRB,200k - 500k
Türkiye,4940,TUR,1500k +
