name,abundance,abbreviation,group
Türkiye,4926,TUR,1500k +
Italy,2108,ITA,1500k +
France,1460,FRA,1000k - 1500k
Germany,1213,DEU,1000k - 1500k
Spain,1083,ESP,1000k - 1500k
Poland,746,POL,500k - 1000k
Romania,703,ROU,500k - 1000k
Greece,310,GRC,200k - 500k
Serbia,235,SRB,200k - 500k
Belgium,230,BEL,200k - 500k
Netherlands,201,NLD,200k - 500k
Bulgaria,193,BGR,100k - 200k
Hungary,174,HUN,100k - 200k
Portugal,157,PRT,100k - 200k
Czechia,157,CZE,100k - 200k
Slovakia,134,SVK,100k - 200k
Austria,134,AUT,100k - 200k
North Macedonia,124,MKD,100k - 200k
Sweden,122,SWE,100k - 200k
Croatia,109,HRV,100k - 200k
Denmark,107,DNK,100k - 200k
Ireland,104,IRL,100k - 200k
Switzerland,96,CHE,< 100k
Finland,92,FIN,< 100k
Norway,78,NOR,< 100k
Lithuania,43,LTU,< 100k
Latvia,35,LVA,< 100k
Montenegro,28,MNE,< 100k
Estonia,25,EST,< 100k
Cyprus,25,CYP,< 100k
Slovenia,23,SVN,< 100k
Luxembourg,9,LUX,< 100k
Malta,7,MLT,< 100k
Iceland,4,ISL,< 100k
