name,abundance,abbreviation,group
Belgium,285,BEL,200k - 500k
Bulgaria,325,BGR,200k - 500k
Czechia,238,CZE,200k - 500k
Denmark,85,DNK,< 100k
Germany,1320,DEU,1000k - 1500k
Estonia,34,EST,< 100k
Ireland,166,IRL,100k - 200k
Greece,498,GRC,200k - 500k
Spain,1649,ESP,1500k +
France,1472,FRA,1000k - 1500k
Croatia,173,HRV,100k - 200k
Italy,2416,ITA,1500k +
Cyprus,37,CYP,< 100k
Latvia,59,LVA,< 100k
Lithuania,79,LTU,< 100k
Luxembourg,7,LUX,< 100k
Hungary,292,HUN,200k - 500k
Malta,9,MLT,< 100k
Netherlands,250,NLD,200k - 500k
Austria,138,AUT,100k - 200k
Poland,1191,POL,1000k - 1500k
Portugal,280,PRT,200k - 500k
Romania,906,ROU,500k - 1000k
Slovenia,39,SVN,< 100k
Slovakia,207,SVK,200k - 500k
Finland,102,FIN,100k - 200k
Sweden,136,SWE,100k - 200k
Iceland,4,ISL,< 100k
Norway,82,NOR,< 100k
Switzerland,116,CHE,100k - 200k
Montenegro,32,MNE,< 100k
North Macedonia,144,MKD,100k - 200k
Serbia,343,SRB,200k - 500k
Türkiye,5210,TUR,1500k +
