name,abundance,abbreviation,group
Türkiye,6269.0,TUR,1500k +
Italy,2074.0,ITA,1500k +
Germany,1652.0,DEU,1500k +
Spain,1629.0,ESP,1500k +
France,1393.0,FRA,1000k - 1500k
Poland,1187.0,POL,1000k - 1500k
Romania,925.0,ROU,500k - 1000k
Serbia,368.0,SRB,200k - 500k
Greece,354.0,GRC,200k - 500k
Bulgaria,328.0,BGR,200k - 500k
Hungary,287.0,HUN,200k - 500k
Czechia,264.0,CZE,200k - 500k
Belgium,246.0,BEL,200k - 500k
Portugal,243.0,PRT,200k - 500k
Slovakia,227.0,SVK,200k - 500k
Ireland,215.0,IRL,200k - 500k
Netherlands,203.0,NLD,200k - 500k
North Macedonia,154.0,MKD,100k - 200k
Austria,146.0,AUT,100k - 200k
Sweden,141.0,SWE,100k - 200k
Croatia,141.0,HRV,100k - 200k
Switzerland,117.0,CHE,100k - 200k
Lithuania,112.0,LTU,100k - 200k
Finland,99.0,FIN,< 100k
Latvia,92.0,LVA,< 100k
Denmark,80.0,DNK,< 100k
Norway,74.0,NOR,< 100k
Estonia,47.0,EST,< 100k
Slovenia,31.0,SVN,< 100k
Cyprus,22.0,CYP,< 100k
Malta,10.0,MLT,< 100k
Iceland,6.0,ISL,< 100k
Luxembourg,5.0,LUX,< 100k
