name,abundance,abbreviation,group
Türkiye,5225,TUR,1500k +
Italy,1991,ITA,1500k +
France,1396,FRA,1000k - 1500k
Germany,1154,DEU,1000k - 1500k
Spain,1070,ESP,1000k - 1500k
Poland,706,POL,500k - 1000k
Romania,662,ROU,500k - 1000k
Greece,281,GRC,200k - 500k
Belgium,226,BEL,200k - 500k
Serbia,218,SRB,200k - 500k
Netherlands,203,NLD,200k - 500k
Hungary,178,HUN,100k - 200k
Bulgaria,171,BGR,100k - 200k
Czechia,159,CZE,100k - 200k
Portugal,150,PRT,100k - 200k
Austria,130,AUT,100k - 200k
Slovakia,130,SVK,100k - 200k
Sweden,112,SWE,100k - 200k
Denmark,107,DNK,100k - 200k
Ireland,104,IRL,100k - 200k
North Macedonia,100,MKD,100k - 200k
Croatia,97,HRV,< 100k
Switzerland,90,CHE,< 100k
Finland,86,FIN,< 100k
Norway,77,NOR,< 100k
Lithuania,49,LTU,< 100k
Latvia,30,LVA,< 100k
Montenegro,28,MNE,< 100k
Slovenia,23,SVN,< 100k
Cyprus,23,CYP,< 100k
Estonia,20,EST,< 100k
Malta,8,MLT,< 100k
Luxembourg,7,LUX,< 100k
Iceland,4,ISL,< 100k
