name,abundance,abbreviation,group
Türkiye,5825,TUR,1500k +
Italy,2119,ITA,1500k +
Spain,1621,ESP,1500k +
Germany,1479,DEU,1000k - 1500k
France,1374,FRA,1000k - 1500k
Poland,1196,POL,1000k - 1500k
Romania,922,ROU,500k - 1000k
Greece,427,GRC,200k - 500k
Serbia,373,SRB,200k - 500k
Bulgaria,334,BGR,200k - 500k
Hungary,278,HUN,200k - 500k
Belgium,264,BEL,200k - 500k
Portugal,249,PRT,200k - 500k
Czechia,238,CZE,200k - 500k
Slovakia,214,SVK,200k - 500k
Ireland,210,IRL,200k - 500k
Netherlands,196,NLD,100k - 200k
North Macedonia,152,MKD,100k - 200k
Croatia,151,HRV,100k - 200k
Austria,136,AUT,100k - 200k
Sweden,136,SWE,100k - 200k
Switzerland,115,CHE,100k - 200k
Finland,94,FIN,< 100k
Lithuania,88,LTU,< 100k
Denmark,84,DNK,< 100k
Latvia,80,LVA,< 100k
Norway,75,NOR,< 100k
Estonia,38,EST,< 100k
Montenegro,33,MNE,< 100k
Slovenia,30,SVN,< 100k
Cyprus,26,CYP,< 100k
Malta,10,MLT,< 100k
Luxembourg,6,LUX,< 100k
Iceland,5,ISL,< 100k
