name,abundance,abbreviation,group
Türkiye,5654,TUR,1500k +
Italy,2223,ITA,1500k +
Spain,1687,ESP,1500k +
Germany,1418,DEU,1000k - 1500k
France,1407,FRA,1000k - 1500k
Poland,1195,POL,1000k - 1500k
Romania,910,ROU,500k - 1000k
Greece,483,GRC,200k - 500k
Serbia,363,SRB,200k - 500k
Bulgaria,322,BGR,200k - 500k
Hungary,299,HUN,200k - 500k
Belgium,275,BEL,200k - 500k
Portugal,273,PRT,200k - 500k
Czechia,247,CZE,200k - 500k
Netherlands,218,NLD,200k - 500k
Slovakia,209,SVK,200k - 500k
Ireland,196,IRL,100k - 200k
Croatia,154,HRV,100k - 200k
North Macedonia,150,MKD,100k - 200k
Sweden,144,SWE,100k - 200k
Austria,131,AUT,100k - 200k
Switzerland,112,CHE,100k - 200k
Finland,97,FIN,< 100k
Denmark,91,DNK,< 100k
Lithuania,83,LTU,< 100k
Norway,75,NOR,< 100k
Latvia,68,LVA,< 100k
Estonia,36,EST,< 100k
Slovenia,36,SVN,< 100k
Montenegro,32,MNE,< 100k
Cyprus,31,CYP,< 100k
Malta,10,MLT,< 100k
Luxembourg,7,LUX,< 100k
Iceland,4,ISL,< 100k
